Species (English and scientific names),Taxonomic group,COSEWIC Status,SARA Status,Page on SARA registry,Timeline,After 2017?,Lag (days) Minister -> GiC Receipt,Aquatic_vs_terrestrial,Consultation_Pathway,Last Minister Receipt,date_1,doc_type_1,date_2,doc_type_2,date_3,doc_type_3,date_4,doc_type_4,date_5,doc_type_5,date_6,doc_type_6,date_7,doc_type_7,date_8,doc_type_8,date_9,doc_type_9,date_10,doc_type_10,date_11,doc_type_11,date_12,doc_type_12,date_13,doc_type_13,date_14,doc_type_14,date_15,doc_type_15,date_16,doc_type_16,date_17,doc_type_17,date_18,doc_type_18
"Grey Whale (Eschrichtius robustus), Eastern North Pacific population",Mammals (marine),Non-active,Special Concern,https://species-registry.canada.ca/index-en.html#/species/356-365,No GiC Receipt (status change),FALSE,0,,,2004-10-22T07:00:00Z,2000-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Rush (Juncus caesariensis),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/260-362,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pink Sand-verbena (Abronia umbellata),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/821-353,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosy Owl-clover (Orthocarpus bracteosus),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/816-354,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slender Collomia (Collomia tenella),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/760-332,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2003-11-01T08:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small-flowered Tonella (Tonella tenella),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/779-325,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2003-11-01T08:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stoloniferous Pussytoes (Antennaria flagellaris),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/751-355,No GiC Receipt (no change needed),FALSE,0,,,2004-10-22T07:00:00Z,2004-05-01T07:00:00Z,0_COSEWIC_Assessment,2004-10-19T07:00:00Z,4_GiC_Receipt,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-05-16T07:00:00Z,5_GiC_Listing_Decision,2005-07-27T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Sturgeon (Acipenser transmontanus),Fishes (freshwater),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/123-282,Assessed on time!,FALSE,389,,,2004-10-22T07:00:00Z,2004-10-22T07:00:00Z,1_Response_Statement,2004-11-23T08:00:00Z,2_Consultation_Begin,2005-01-28T08:00:00Z,3_Consultation_End,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alkaline Wing-nerved Moss (Pterygoneurum kozlovii),Mosses,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/818-554,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Chestnut (Castanea dentata),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/205-164,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowhead Whale (Balaena mysticetus), Davis Strait-Baffin Bay population",Mammals (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/872-590,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bowhead Whale (Balaena mysticetus), Hudson Bay-Foxe Basin population",Mammals (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/871-589,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Branched Phacelia (Phacelia ramosissima),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/863-573,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cliff Paintbrush (Castilleja rupicola),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/844-582,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dense Spike-primrose (Epilobium densiflorum),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/849-574,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dense-flowered Lupine (Lupinus densiflorus),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/856-575,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grand Coulee Owl-clover (Orthocarpus barbatus),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/862-571,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill's Pondweed (Potamogeton hillii),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/254-443,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hill's Thistle (Cirsium hillii),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/807-558,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houghton's Goldenrod (Solidago houghtonii),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/868-583,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mountain Holly Fern (Polystichum scopulinum),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/864-572,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narwhal (Monodon monoceros),Mammals (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/306-548,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prototype Quillwort (Isoetes prototypus),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/870-579,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rocky Mountain Sculpin (Cottus sp.), Eastslope populations",Fishes (freshwater),Non-active,Threatened,https://species-registry.canada.ca/index-en.html#/species/845-588,No GiC Receipt (status change),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,2012-04-21T07:00:00Z,5_GiC_Listing_Decision,2012-07-04T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Showy Phlox (Phlox speciosa ssp. occidentalis),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/831-561,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-08-12T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spalding's Campion (Silene spaldingii),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/867-576,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swamp Rose-mallow (Hibiscus moscheutos),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/266-445,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Upper Great Lakes Kiyi (Coregonus kiyi kiyi),Fishes (freshwater),Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/876-603,Assessed on time!,FALSE,547,,,2005-11-15T08:00:00Z,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White Meconella (Meconella oregana),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/857-569,No GiC Receipt (no change needed),FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2005-11-15T08:00:00Z,4_GiC_Receipt,2006-02-15T08:00:00Z,3_Consultation_End,2006-06-10T07:00:00Z,5_GiC_Listing_Decision,2006-09-06T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winter Skate (Leucoraja ocellata), Eastern Scotian Shelf population",Fishes (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/855-608,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winter Skate (Leucoraja ocellata), Southern Gulf of St. Lawrence population",Fishes (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/854-607,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winter Skate (Leucoraja ocellata), Western Scotian Shelf - Georges Bank population",Fishes (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/881-606,No GiC Receipt,FALSE,0,,,2005-11-15T08:00:00Z,2005-05-01T07:00:00Z,0_COSEWIC_Assessment,2005-11-15T08:00:00Z,1_Response_Statement,2005-11-15T08:00:00Z,2_Consultation_Begin,2006-02-15T08:00:00Z,3_Consultation_End,2009-12-05T08:00:00Z,5_GiC_Listing_Decision,2010-03-17T07:00:00Z,5_GiC_Listing_Decision,2016-02-04T08:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Columbo (Frasera caroliniensis),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/240-434,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlantic Walrus (Odobenus rosmarus rosmarus),Mammals (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/915-638,No GiC Receipt,FALSE,0,,,2006-11-29T08:00:00Z,2006-11-29T08:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue Shark (Prionace glauca), North Atlantic population",Fishes (marine),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/925-639,No GiC Receipt,FALSE,0,,,2006-11-29T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolander's Quillwort (Isoetes bolanderi),Vascular Plants,Threatened,Threatened,https://species-registry.canada.ca/index-en.html#/species/243-444,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cherry Birch (Betula lenta),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/896-621,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coast Microseris (Microseris bigelovii),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/910-613,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Contorted-pod Evening-primrose (Camissonia contorta),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/898-617,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2006-08-30T07:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dwarf Woolly-heads (Psilocarphus brevissimus), Prairie population",Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/932-612,Assessed on time!,FALSE,168,,,2006-11-29T08:00:00Z,2003-11-01T08:00:00Z,0_COSEWIC_Assessment,2006-11-29T08:00:00Z,1_Response_Statement,2006-12-28T08:00:00Z,2_Consultation_Begin,2007-05-16T07:00:00Z,4_GiC_Receipt,2007-08-11T07:00:00Z,5_GiC_Listing_Decision,2007-12-26T08:00:00Z,5_GiC_Listing_Decision,2008-03-14T07:00:00Z,3_Consultation_End,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
